Company Name,Job Title,Job Description,Job Location,Job Posting URL,Normalized Salary
NVIDIA,DevOps Architect,"We are looking for a DevOps Architect with 8+ years of experience. The candidate should possess Masters in Computer Science and demonstrate strong skills in Linux, Docker, AWS, CI/CD, Terraform, Monitoring, Ansible, GCP, Kubernetes, Cloud Architecture, Security, Infrastructure as Code, Multi-Cloud. This role involves working on innovative projects in Technology domain.","Fort Worth, TX",https://www.linkedin.com/jobs/view/905025/?trk=jobs_biz_prem_srch,226000
Microsoft,Senior Data Scientist,"We are looking for a Senior Data Scientist with 8+ years of experience. The candidate should possess Masters in Data Science and demonstrate strong skills in Python, SQL, Pandas, Data Cleaning, Exploratory Data Analysis, Regression, Classification, Scikit-learn, PyTorch, PySpark, Hyperparameter Tuning, Big Data, Model Deployment. This role involves working on innovative projects in Technology domain.","Los Angeles, CA",https://www.linkedin.com/jobs/view/980593/?trk=jobs_biz_prem_srch,225000
OpenAI,Data Scientist,"We are looking for a Data Scientist with 3-8 years of experience. The candidate should possess Bachelors in Data Science and demonstrate strong skills in Python, SQL, Pandas, Data Cleaning, Exploratory Data Analysis, Regression, Classification, Scikit-learn. This role involves working on innovative projects in Technology domain.","San Francisco, CA",https://www.linkedin.com/jobs/view/915229/?trk=jobs_biz_prem_srch,113000
CVS Health,Clinical Operations Manager,"We are looking for a Clinical Operations Manager with 4-8 years of experience. The candidate should possess Masters in Health Administration and demonstrate strong skills in Medical Terminology, Electronic Health Records (EHR), HIPAA Compliance, Data Entry, ICD Coding, Clinical Workflow Optimization, Staff Coordination, Healthcare Compliance, EHR Oversight, Process Improvement. This role involves working on innovative projects in Healthcare domain.","Detroit, MI",https://www.linkedin.com/jobs/view/951591/?trk=jobs_biz_prem_srch,90000
Salesforce,Software Engineer,"We are looking for a Software Engineer with 2-6 years of experience. The candidate should possess Bachelors in Computer Science and demonstrate strong skills in HTML, CSS, JavaScript, Git, Java, Spring Boot, SQL, REST APIs. This role involves working on innovative projects in Technology domain.","Columbus, OH",https://www.linkedin.com/jobs/view/911909/?trk=jobs_biz_prem_srch,95000
Skadden,Senior Counsel,"We are looking for a Senior Counsel with 8-14 years of experience. The candidate should possess Masters in Legal Studies and demonstrate strong skills in Case Filing, Document Review, Legal Correspondence, Legal Drafting, Client Counseling, Contract Law, Mergers & Acquisitions, Negotiations, Regulatory Compliance. This role involves working on innovative projects in Legal domain.","El Paso, TX",https://www.linkedin.com/jobs/view/902370/?trk=jobs_biz_prem_srch,106000
Canva,Senior UI/UX Designer,"We are looking for a Senior UI/UX Designer with 4-9 years of experience. The candidate should possess Masters in Design and demonstrate strong skills in Figma, Sketch, Typography, Wireframing, Brand Guidelines, Information Architecture, Design Thinking, Accessibility, Usability Testing. This role involves working on innovative projects in Design domain.","Los Angeles, CA",https://www.linkedin.com/jobs/view/987859/?trk=jobs_biz_prem_srch,95000
Pfizer,Chief Medical Officer,"We are looking for a Chief Medical Officer with 8+ years of experience. The candidate should possess Masters in Health Administration and demonstrate strong skills in Medical Terminology, Electronic Health Records (EHR), HIPAA Compliance, Data Entry, ICD Coding, Clinical Workflow Optimization, Staff Coordination, Healthcare Compliance, EHR Oversight, Process Improvement, Medical Leadership, Strategic Planning, Policy Oversight, Clinical Governance, Cross-Department Collaboration. This role involves working on innovative projects in Healthcare domain.","Colorado Springs, CO",https://www.linkedin.com/jobs/view/993573/?trk=jobs_biz_prem_srch,111000
Roche,Pharma R&D Director,"We are looking for a Pharma R&D Director with 11+ years of experience. The candidate should possess Doctor of Pharmacy and demonstrate strong skills in Medical Product Knowledge, CRM, Territory Management, Clinical Trials, Adverse Event Reporting, GMP Compliance, Audits, Regulatory Submissions, Pipeline Strategy, Lab Management, Innovation Oversight. This role involves working on innovative projects in Pharmaceutical domain.","Seattle, WA",https://www.linkedin.com/jobs/view/996215/?trk=jobs_biz_prem_srch,172000
Workday,HR Coordinator,"We are looking for a HR Coordinator with 0-2 years of experience. The candidate should possess BBA and demonstrate strong skills in Onboarding, Recruitment, HRIS, Employee Files. This role involves working on innovative projects in HR domain.","San Jose, CA",https://www.linkedin.com/jobs/view/964500/?trk=jobs_biz_prem_srch,47000
CVS Health,Chief Medical Officer,"We are looking for a Chief Medical Officer with 8+ years of experience. The candidate should possess Masters in Health Administration and demonstrate strong skills in Medical Terminology, Electronic Health Records (EHR), HIPAA Compliance, Data Entry, ICD Coding, Clinical Workflow Optimization, Staff Coordination, Healthcare Compliance, EHR Oversight, Process Improvement, Medical Leadership, Strategic Planning, Policy Oversight, Clinical Governance, Cross-Department Collaboration. This role involves working on innovative projects in Healthcare domain.","Virginia Beach, VA",https://www.linkedin.com/jobs/view/922550/?trk=jobs_biz_prem_srch,136000
Moderna,Chief Medical Officer,"We are looking for a Chief Medical Officer with 8+ years of experience. The candidate should possess Masters in Health Administration and demonstrate strong skills in Medical Terminology, Electronic Health Records (EHR), HIPAA Compliance, Data Entry, ICD Coding, Clinical Workflow Optimization, Staff Coordination, Healthcare Compliance, EHR Oversight, Process Improvement, Medical Leadership, Strategic Planning, Policy Oversight, Clinical Governance, Cross-Department Collaboration. This role involves working on innovative projects in Healthcare domain.","Fort Worth, TX",https://www.linkedin.com/jobs/view/975157/?trk=jobs_biz_prem_srch,140000
Bechtel,Junior Civil Engineer,"We are looking for a Junior Civil Engineer with 0-3 years of experience. The candidate should possess Diploma in Civil Engineering and demonstrate strong skills in AutoCAD, Site Inspection, Surveying. This role involves working on innovative projects in Construction domain.","Jacksonville, FL",https://www.linkedin.com/jobs/view/915977/?trk=jobs_biz_prem_srch,51000
Atlassian,AI Research Scientist,"We are looking for a AI Research Scientist with 12+ years of experience. The candidate should possess Doctorate in AI and demonstrate strong skills in Python, Pandas, Exploratory Data Analysis, Regression, Classification, Scikit-learn, PyTorch, Big Data, Model DeploymentNeural Networks, NLP, TensorFlow, ML Pipelines, AWS, GCP, AI Strategy, Generative AI, Transformer Models, Reinforcement Learning, Research Publications. This role involves working on innovative projects in Technology domain.","Miami, FL",https://www.linkedin.com/jobs/view/951771/?trk=jobs_biz_prem_srch,280000
Microsoft,Machine Learning Engineer,"We are looking for a Machine Learning Engineer with 3-6 years of experience. The candidate should possess Masters in AI and demonstrate strong skills in Python, Pandas, Exploratory Data Analysis, Regression, Classification, Scikit-learn, PyTorch, Big Data, Model DeploymentNeural Networks. This role involves working on innovative projects in Technology domain.","Charlotte, NC",https://www.linkedin.com/jobs/view/992238/?trk=jobs_biz_prem_srch,145000
Citibank,Financial Analyst,"We are looking for a Financial Analyst with 3-6 years of experience. The candidate should possess BBA and demonstrate strong skills in Accounts Payable, Bookkeeping, Excel, Financial Modeling, Forecasting, Dashboards. This role involves working on innovative projects in Finance domain.","Raleigh, NC",https://www.linkedin.com/jobs/view/979508/?trk=jobs_biz_prem_srch,107000
Canva,UI/UX Designer,"We are looking for a UI/UX Designer with 0-4 years of experience. The candidate should possess Bachelors in Design and demonstrate strong skills in Figma, Sketch, Typography, Wireframing, Brand Guidelines. This role involves working on innovative projects in Design domain.","Minneapolis, MN",https://www.linkedin.com/jobs/view/975884/?trk=jobs_biz_prem_srch,69000
HDR,Construction Project Manager,"We are looking for a Construction Project Manager with 12+ years of experience. The candidate should possess Masters in Civil Engineering and demonstrate strong skills in AutoCAD, Site Inspection, Surveying, Concrete Design, Structural Analysis, Cost Estimation, Project Planning, Team Coordination, Materials Testing, Vendor Management, Scheduling, Contracting. This role involves working on innovative projects in Construction domain.","Los Angeles, CA",https://www.linkedin.com/jobs/view/965488/?trk=jobs_biz_prem_srch,134000
Kirkland & Ellis,Associate Attorney,"We are looking for a Associate Attorney with 3-8 years of experience. The candidate should possess Bachelors in Legal Studies and demonstrate strong skills in Case Filing, Document Review, Legal Correspondence, Legal Drafting, Client Counseling, Contract Law. This role involves working on innovative projects in Legal domain.","Las Vegas, NV",https://www.linkedin.com/jobs/view/965859/?trk=jobs_biz_prem_srch,67000
Canva,Creative Director,"We are looking for a Creative Director with 9+ years of experience. The candidate should possess Masters in Design and demonstrate strong skills in Figma, Sketch, Typography, Wireframing, Brand Guidelines, Information Architecture, Design Thinking, Accessibility, Usability Testing, User Research, Art Direction, Brand Vision, Team Management. This role involves working on innovative projects in Design domain.","Seattle, WA",https://www.linkedin.com/jobs/view/977598/?trk=jobs_biz_prem_srch,145000
Adobe,Vice President of Product Management,"We are looking for a Vice President of Product Management with 10+ years of experience. The candidate should possess MBA and demonstrate strong skills in Agile, Product Roadmap, User Stories, Backlog Grooming, Strategy, Market Research, Go-to-Market, Cross-functional Leadership, Vision Setting, Stakeholder Communication, Portfolio Management, Executive Alignment. This role involves working on innovative projects in Technology domain.","San Jose, CA",https://www.linkedin.com/jobs/view/998793/?trk=jobs_biz_prem_srch,253000
Salesforce,Software Architect,"We are looking for a Software Architect with 11+ years of experience. The candidate should possess Masters in Computer Science and demonstrate strong skills in HTML, CSS, JavaScript, Git, Java, Spring Boot, SQL, REST APIs, C#, .NET, Microservices, Docker, Kubernetes, System Design, Architecture Patterns, CI/CD, AWS, Scalability. This role involves working on innovative projects in Technology domain.","Los Angeles, CA",https://www.linkedin.com/jobs/view/985721/?trk=jobs_biz_prem_srch,275000
Fantasy Interactive,Senior UI/UX Designer,"We are looking for a Senior UI/UX Designer with 4-9 years of experience. The candidate should possess Masters in Design and demonstrate strong skills in Figma, Sketch, Typography, Wireframing, Brand Guidelines, Information Architecture, Design Thinking, Accessibility, Usability Testing. This role involves working on innovative projects in Design domain.","Phoenix, AZ",https://www.linkedin.com/jobs/view/925878/?trk=jobs_biz_prem_srch,95000
Fantasy Interactive,Senior UI/UX Designer,"We are looking for a Senior UI/UX Designer with 4-9 years of experience. The candidate should possess Masters in Design and demonstrate strong skills in Figma, Sketch, Typography, Wireframing, Brand Guidelines, Information Architecture, Design Thinking, Accessibility, Usability Testing. This role involves working on innovative projects in Design domain.","Mesa, AZ",https://www.linkedin.com/jobs/view/944813/?trk=jobs_biz_prem_srch,98000
BambooHR,HR Manager,"We are looking for a HR Manager with 5-9 years of experience. The candidate should possess MBA and demonstrate strong skills in Onboarding, Recruitment, HRIS, Employee Files, Benefits, Payroll, Employee Relations, Compliance, Policy Development, Team Leadership. This role involves working on innovative projects in HR domain.","Portland, OR",https://www.linkedin.com/jobs/view/917877/?trk=jobs_biz_prem_srch,96000
BambooHR,HR Generalist,"We are looking for a HR Generalist with 2-5 years of experience. The candidate should possess BBA and demonstrate strong skills in Onboarding, Recruitment, HRIS, Employee Files, Benefits, Payroll, Employee Relations. This role involves working on innovative projects in HR domain.","Raleigh, NC",https://www.linkedin.com/jobs/view/943765/?trk=jobs_biz_prem_srch,64000
AECOM,Junior Civil Engineer,"We are looking for a Junior Civil Engineer with 0-3 years of experience. The candidate should possess Diploma in Civil Engineering and demonstrate strong skills in AutoCAD, Site Inspection, Surveying. This role involves working on innovative projects in Construction domain.","Raleigh, NC",https://www.linkedin.com/jobs/view/904596/?trk=jobs_biz_prem_srch,61000
Pfizer,Chief Medical Officer,"We are looking for a Chief Medical Officer with 8+ years of experience. The candidate should possess Masters in Health Administration and demonstrate strong skills in Medical Terminology, Electronic Health Records (EHR), HIPAA Compliance, Data Entry, ICD Coding, Clinical Workflow Optimization, Staff Coordination, Healthcare Compliance, EHR Oversight, Process Improvement, Medical Leadership, Strategic Planning, Policy Oversight, Clinical Governance, Cross-Department Collaboration. This role involves working on innovative projects in Healthcare domain.","Milwaukee, WI",https://www.linkedin.com/jobs/view/968065/?trk=jobs_biz_prem_srch,147000
AECOM,Construction Project Manager,"We are looking for a Construction Project Manager with 12+ years of experience. The candidate should possess Masters in Civil Engineering and demonstrate strong skills in AutoCAD, Site Inspection, Surveying, Concrete Design, Structural Analysis, Cost Estimation, Project Planning, Team Coordination, Materials Testing, Vendor Management, Scheduling, Contracting. This role involves working on innovative projects in Construction domain.","Philadelphia, PA",https://www.linkedin.com/jobs/view/979409/?trk=jobs_biz_prem_srch,144000
Cisco,Associate Product Manager,"We are looking for a Associate Product Manager with 0-3 years of experience. The candidate should possess BBA and demonstrate strong skills in Agile, Product Roadmap, User Stories, Backlog Grooming. This role involves working on innovative projects in Technology domain.","Charlotte, NC",https://www.linkedin.com/jobs/view/916230/?trk=jobs_biz_prem_srch,73000
Skadden,Associate Attorney,"We are looking for a Associate Attorney with 3-8 years of experience. The candidate should possess Bachelors in Legal Studies and demonstrate strong skills in Case Filing, Document Review, Legal Correspondence, Legal Drafting, Client Counseling, Contract Law. This role involves working on innovative projects in Legal domain.","Long Beach, CA",https://www.linkedin.com/jobs/view/914348/?trk=jobs_biz_prem_srch,86000
ADP,HR Generalist,"We are looking for a HR Generalist with 2-5 years of experience. The candidate should possess BBA and demonstrate strong skills in Onboarding, Recruitment, HRIS, Employee Files, Benefits, Payroll, Employee Relations. This role involves working on innovative projects in HR domain.","Tampa, FL",https://www.linkedin.com/jobs/view/992923/?trk=jobs_biz_prem_srch,69000
Costco,Retail Sales Associate,"We are looking for a Retail Sales Associate with 0-3 years of experience. The candidate should possess Diploma in Retail Management and demonstrate strong skills in Customer Service, POS Systems, Inventory Restocking, Sales Communication. This role involves working on innovative projects in Retail domain.","Houston, TX",https://www.linkedin.com/jobs/view/937322/?trk=jobs_biz_prem_srch,42000
BambooHR,HR Manager,"We are looking for a HR Manager with 5-9 years of experience. The candidate should possess MBA and demonstrate strong skills in Onboarding, Recruitment, HRIS, Employee Files, Benefits, Payroll, Employee Relations, Compliance, Policy Development, Team Leadership. This role involves working on innovative projects in HR domain.","Tampa, FL",https://www.linkedin.com/jobs/view/927846/?trk=jobs_biz_prem_srch,108000
Pfizer,Clinical Operations Manager,"We are looking for a Clinical Operations Manager with 4-8 years of experience. The candidate should possess Masters in Health Administration and demonstrate strong skills in Medical Terminology, Electronic Health Records (EHR), HIPAA Compliance, Data Entry, ICD Coding, Clinical Workflow Optimization, Staff Coordination, Healthcare Compliance, EHR Oversight, Process Improvement. This role involves working on innovative projects in Healthcare domain.","San Diego, CA",https://www.linkedin.com/jobs/view/982143/?trk=jobs_biz_prem_srch,97000
edX,Academic Counselor,"We are looking for a Academic Counselor with 0-3 years of experience. The candidate should possess Bachelors in Education and demonstrate strong skills in Student Guidance, Assessment Writing, Career Advice, Enrollment. This role involves working on innovative projects in Education domain.","Chicago, IL",https://www.linkedin.com/jobs/view/909692/?trk=jobs_biz_prem_srch,51000
IBM,Software Engineer,"We are looking for a Software Engineer with 2-6 years of experience. The candidate should possess Bachelors in Computer Science and demonstrate strong skills in HTML, CSS, JavaScript, Git, Java, Spring Boot, SQL, REST APIs. This role involves working on innovative projects in Technology domain.","Oklahoma City, OK",https://www.linkedin.com/jobs/view/948959/?trk=jobs_biz_prem_srch,99000
Figma,UI/UX Designer,"We are looking for a UI/UX Designer with 0-4 years of experience. The candidate should possess Bachelors in Design and demonstrate strong skills in Figma, Sketch, Typography, Wireframing, Brand Guidelines. This role involves working on innovative projects in Design domain.","Sacramento, CA",https://www.linkedin.com/jobs/view/947561/?trk=jobs_biz_prem_srch,81000
Fantasy Interactive,Creative Director,"We are looking for a Creative Director with 9+ years of experience. The candidate should possess Masters in Design and demonstrate strong skills in Figma, Sketch, Typography, Wireframing, Brand Guidelines, Information Architecture, Design Thinking, Accessibility, Usability Testing, User Research, Art Direction, Brand Vision, Team Management. This role involves working on innovative projects in Design domain.","Charlotte, NC",https://www.linkedin.com/jobs/view/924940/?trk=jobs_biz_prem_srch,129000
Spotify,Director of Marketing,"We are looking for a Director of Marketing with 8+ years of experience. The candidate should possess MBA and demonstrate strong skills in Email Marketing, Social Media, Content Scheduling, Copywriting, Brand Strategy, Paid Ads, Analytics, Campaign Management, Market Research, Budgeting, Agency Oversight, Executive Reporting. This role involves working on innovative projects in Marketing domain.","Fresno, CA",https://www.linkedin.com/jobs/view/986013/?trk=jobs_biz_prem_srch,126000
Amgen,Clinical Research Associate,"We are looking for a Clinical Research Associate with 0-5 years of experience. The candidate should possess Doctor of Pharmacy and demonstrate strong skills in Medical Product Knowledge, CRM, Territory Management, Clinical Trials. This role involves working on innovative projects in Pharmaceutical domain.","Oakland, CA",https://www.linkedin.com/jobs/view/969940/?trk=jobs_biz_prem_srch,82000
Meta,Data Scientist,"We are looking for a Data Scientist with 3-8 years of experience. The candidate should possess Bachelors in Data Science and demonstrate strong skills in Python, SQL, Pandas, Data Cleaning, Exploratory Data Analysis, Regression, Classification, Scikit-learn. This role involves working on innovative projects in Technology domain.","Miami, FL",https://www.linkedin.com/jobs/view/937507/?trk=jobs_biz_prem_srch,155000
Google,Machine Learning Engineer,"We are looking for a Machine Learning Engineer with 3-6 years of experience. The candidate should possess Masters in AI and demonstrate strong skills in Python, Pandas, Exploratory Data Analysis, Regression, Classification, Scikit-learn, PyTorch, Big Data, Model DeploymentNeural Networks. This role involves working on innovative projects in Technology domain.","Houston, TX",https://www.linkedin.com/jobs/view/977920/?trk=jobs_biz_prem_srch,129000
edX,Curriculum Developer,"We are looking for a Curriculum Developer with 3-6 years of experience. The candidate should possess Masters in Education and demonstrate strong skills in Student Guidance, Assessment Writing, Career Advice, Enrollment, eLearning, Learning Objectives, LMS Tools, Syllabus Design, Education Standards. This role involves working on innovative projects in Education domain.","Jacksonville, FL",https://www.linkedin.com/jobs/view/987671/?trk=jobs_biz_prem_srch,66000
Genentech,Pharma Quality Manager,"We are looking for a Pharma Quality Manager with 5-11 years of experience. The candidate should possess Doctor of Pharmacy and demonstrate strong skills in Medical Product Knowledge, CRM, Territory Management, Clinical Trials, Adverse Event Reporting, GMP Compliance, Audits, Regulatory Submissions. This role involves working on innovative projects in Pharmaceutical domain.","Detroit, MI",https://www.linkedin.com/jobs/view/988962/?trk=jobs_biz_prem_srch,138000
Google,Senior DevOps Engineer,"We are looking for a Senior DevOps Engineer with 4-8 years of experience. The candidate should possess Masters in Computer Science and demonstrate strong skills in Linux, Docker, AWS, CI/CD, Terraform, Monitoring, Ansible, GCP, Kubernetes. This role involves working on innovative projects in Technology domain.","Chicago, IL",https://www.linkedin.com/jobs/view/953909/?trk=jobs_biz_prem_srch,149000
Target,Chief Merchandising Officer,"We are looking for a Chief Merchandising Officer with 7+ years of experience. The candidate should possess MBA and demonstrate strong skills in Customer Service, POS Systems, Inventory Restocking, Sales Communication, Scheduling, Sales Reporting, Vendor Coordination, Customer Satisfaction, Merchandising Strategy, Trend Analysis, Category Management, Inventory Planning. This role involves working on innovative projects in Retail domain.","Indianapolis, IN",https://www.linkedin.com/jobs/view/987041/?trk=jobs_biz_prem_srch,76000
UnitedHealth Group,Chief Medical Officer,"We are looking for a Chief Medical Officer with 8+ years of experience. The candidate should possess Masters in Health Administration and demonstrate strong skills in Medical Terminology, Electronic Health Records (EHR), HIPAA Compliance, Data Entry, ICD Coding, Clinical Workflow Optimization, Staff Coordination, Healthcare Compliance, EHR Oversight, Process Improvement, Medical Leadership, Strategic Planning, Policy Oversight, Clinical Governance, Cross-Department Collaboration. This role involves working on innovative projects in Healthcare domain.","San Antonio, TX",https://www.linkedin.com/jobs/view/925227/?trk=jobs_biz_prem_srch,139000
Salesforce,Vice President of Product Management,"We are looking for a Vice President of Product Management with 10+ years of experience. The candidate should possess MBA and demonstrate strong skills in Agile, Product Roadmap, User Stories, Backlog Grooming, Strategy, Market Research, Go-to-Market, Cross-functional Leadership, Vision Setting, Stakeholder Communication, Portfolio Management, Executive Alignment. This role involves working on innovative projects in Technology domain.","Atlanta, GA",https://www.linkedin.com/jobs/view/901099/?trk=jobs_biz_prem_srch,259000
Kirkland & Ellis,Director of Legal Affairs,"We are looking for a Director of Legal Affairs with 14+ years of experience. The candidate should possess Masters in Legal Studies and demonstrate strong skills in Case Filing, Document Review, Legal Correspondence, Legal Drafting, Client Counseling, Contract Law, Mergers & Acquisitions, Negotiations, Regulatory Compliance, Corporate Governance, Legal Strategy, Risk Mitigation. This role involves working on innovative projects in Legal domain.","Arlington, TX",https://www.linkedin.com/jobs/view/911215/?trk=jobs_biz_prem_srch,185000
Wells Fargo,Finance Director,"We are looking for a Finance Director with 10+ years of experience. The candidate should possess MBA and demonstrate strong skills in Accounts Payable, Bookkeeping, Excel, Financial Modeling, Forecasting, Dashboards, Valuation, Risk Analysis, Business Intelligence, Budget Oversight, P&L Management, Investment Strategy. This role involves working on innovative projects in Finance domain.","Louisville, KY",https://www.linkedin.com/jobs/view/981506/?trk=jobs_biz_prem_srch,180000
Meta,Senior Software Engineer,"We are looking for a Senior Software Engineer with 6-11 years of experience. The candidate should possess Masters in Computer Science and demonstrate strong skills in HTML, CSS, JavaScript, Git, Java, Spring Boot, SQL, REST APIs, C#, .NET, Microservices, Docker, Kubernetes. This role involves working on innovative projects in Technology domain.","San Antonio, TX",https://www.linkedin.com/jobs/view/997752/?trk=jobs_biz_prem_srch,156000
Target,Retail Sales Associate,"We are looking for a Retail Sales Associate with 0-3 years of experience. The candidate should possess Diploma in Retail Management and demonstrate strong skills in Customer Service, POS Systems, Inventory Restocking, Sales Communication. This role involves working on innovative projects in Retail domain.","Columbus, OH",https://www.linkedin.com/jobs/view/903532/?trk=jobs_biz_prem_srch,47000
Amgen,Pharma R&D Director,"We are looking for a Pharma R&D Director with 11+ years of experience. The candidate should possess Doctor of Pharmacy and demonstrate strong skills in Medical Product Knowledge, CRM, Territory Management, Clinical Trials, Adverse Event Reporting, GMP Compliance, Audits, Regulatory Submissions, Pipeline Strategy, Lab Management, Innovation Oversight. This role involves working on innovative projects in Pharmaceutical domain.","Baltimore, MD",https://www.linkedin.com/jobs/view/933317/?trk=jobs_biz_prem_srch,178000
JPMorgan Chase,Financial Analyst,"We are looking for a Financial Analyst with 3-6 years of experience. The candidate should possess BBA and demonstrate strong skills in Accounts Payable, Bookkeeping, Excel, Financial Modeling, Forecasting, Dashboards. This role involves working on innovative projects in Finance domain.","Las Vegas, NV",https://www.linkedin.com/jobs/view/928680/?trk=jobs_biz_prem_srch,95000
Microsoft,Machine Learning Architect,"We are looking for a Machine Learning Architect with 6-12 years of experience. The candidate should possess Masters in AI and demonstrate strong skills in Python, Pandas, Exploratory Data Analysis, Regression, Classification, Scikit-learn, PyTorch, Big Data, Model DeploymentNeural Networks, NLP, TensorFlow, ML Pipelines, AWS, GCP, AI Strategy. This role involves working on innovative projects in Technology domain.","Virginia Beach, VA",https://www.linkedin.com/jobs/view/971034/?trk=jobs_biz_prem_srch,175000
Google,Software Engineer,"We are looking for a Software Engineer with 2-6 years of experience. The candidate should possess Bachelors in Computer Science and demonstrate strong skills in HTML, CSS, JavaScript, Git, Java, Spring Boot, SQL, REST APIs. This role involves working on innovative projects in Technology domain.","Omaha, NE",https://www.linkedin.com/jobs/view/940525/?trk=jobs_biz_prem_srch,140000
Salesforce,Vice President of Product Management,"We are looking for a Vice President of Product Management with 10+ years of experience. The candidate should possess MBA and demonstrate strong skills in Agile, Product Roadmap, User Stories, Backlog Grooming, Strategy, Market Research, Go-to-Market, Cross-functional Leadership, Vision Setting, Stakeholder Communication, Portfolio Management, Executive Alignment. This role involves working on innovative projects in Technology domain.","Fresno, CA",https://www.linkedin.com/jobs/view/916913/?trk=jobs_biz_prem_srch,212000
